side,pair,corr,rmse_nm,mae_nm,bias_nm,std_x,std_y,amp_ratio_std,max_abs_err_nm,best_lag_ms,best_lag_frames,best_lag_corr,best_lag_rmse_nm,best_lag_mae_nm
L,matlab vs local_ref_single,0.5376635455132033,1.617299283877707,1.1129391132388866,-0.061061612906525904,1.1809913195446036,1.9079184184977365,1.6155228128449108,8.979573384145349,-60.0,-6.0,0.6386467867968604,1.6159469164721307,1.1126629261698922
L,matlab vs local_deploy_single,0.538599609932988,1.6149972690407217,1.105227089691827,-0.059229162312946323,1.1809913195446036,1.9067376793082975,1.6145230263351393,8.330389934711942,-60.0,-6.0,0.6374970441449845,1.6137455314843014,1.1050418439429357
L,matlab vs local_ref_mcmean,0.5391076135159537,1.6132721952189046,1.1047578774406068,-0.06759794321841778,1.1809913195446036,1.905026955202931,1.6130744770722838,8.637101100653839,-60.0,-6.0,0.6394108413836629,1.611991524378075,1.104549618981958
L,matlab vs local_deploy_mcmean,0.5391411340295669,1.6095405084449292,1.1023903259771615,-0.06443891846914791,1.1809913195446036,1.9005016005972784,1.6092426499193173,8.704223126106747,-60.0,-6.0,0.6401112443697772,1.6082696102831908,1.1021970816663245
L,matlab vs local_ref_matcfg,0.5467354019829465,1.5884073817269035,1.0928835045194452,-0.03928588987784645,1.1809913195446036,1.8881346935772345,1.5987710174734477,8.220437553028322,-60.0,-6.0,0.6402153483295027,1.5870717198894666,1.0926758803163308
L,matlab vs local_deploy_matcfg,0.45501414644100324,1.7161335297237104,1.193884063865352,-0.03151281116427624,1.1809913195446036,1.8931497619030542,1.60301750789452,9.022929635299093,-80.0,-8.0,0.6386641885649219,1.7143184252010235,1.1935538617332966
L,local_ref_mcmean vs local_deploy_mcmean,0.9991264463775916,0.07972372227031463,0.05187053110330103,0.0031590247492698596,1.905026955202931,1.9005016005972784,0.9976245193831558,0.7186842097187669,0.0,0.0,0.9991264463775916,0.07972372227031463,0.05187053110330103
R,matlab vs local_ref_single,0.538807215995438,1.8224673586651443,1.275071988137579,-0.039446779298575464,1.2182771968577961,2.161911339440208,1.7745643971786358,9.472027109372,-60.0,-6.0,0.5969090995055255,1.8235650746510883,1.2764535580694327
R,matlab vs local_deploy_single,0.5370830270165415,1.8322982014773805,1.279388788402015,-0.05185547413078199,1.2182771968577961,2.170415544398703,1.7815449144044548,10.019406970919597,-60.0,-6.0,0.5968872633501758,1.8334128211375513,1.280849000062647
R,matlab vs local_ref_mcmean,0.5403223818300804,1.8176207565429225,1.2748677970284858,-0.040639362478527306,1.2182771968577961,2.1586636377701365,1.7718985821420865,9.410848034774281,-60.0,-6.0,0.6005036183187632,1.8187244918229413,1.2763035127736646
R,matlab vs local_deploy_mcmean,0.5400326106298509,1.817460410098014,1.2741092841775972,-0.04136730393293043,1.2182771968577961,2.1579416009177073,1.7713059117266088,9.405429586352337,-60.0,-6.0,0.5995668901695173,1.8185660295068873,1.2755685517489819
R,matlab vs local_ref_matcfg,0.5514120446285086,1.7654067340666797,1.2402355267722192,-0.002939572060847421,1.2182771968577961,2.115286334324865,1.736293135732094,9.070474945214333,-60.0,-6.0,0.6055821897505872,1.7664793531128795,1.2416327903990008
R,matlab vs local_deploy_matcfg,0.4820440729476625,1.8663301446997118,1.331861953705221,-0.016430857432786217,1.2182771968577961,2.118144451283084,1.738639167460824,9.531247028884481,-80.0,-8.0,0.6085765715183252,1.8678040019042779,1.3336583686360322
R,local_ref_mcmean vs local_deploy_mcmean,0.9992488656147624,0.08366017500018626,0.05559710485623067,-0.0007279414544031245,2.1586636377701365,2.1579416009177073,0.9996655167387843,0.5096013527509919,0.0,0.0,0.9992488656147624,0.08366017500018626,0.05559710485623067
